datetime,text,intent,confidence,entities,reply
2026-04-27T19:12:07,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:12:18,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:12:32,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:12:43,по мой браузер,delete_target,0.9968,{'target_name': 'браузер'},Удалить браузер? Скажи да или отмена.
2026-04-27T19:12:53,нет,reject,0.9997,{},"Хорошо, отменяю."
2026-04-27T19:12:58,помой браузер,delete_target,0.9968,{'target_name': 'браузер'},Удалить браузер? Скажи да или отмена.
2026-04-27T19:13:05,отмена,reject,0.9998,{},"Хорошо, отменяю."
2026-04-27T19:13:09,вперед браузер,delete_target,0.9968,{'target_name': 'браузер'},Удалить браузер? Скажи да или отмена.
2026-04-27T19:13:25,отмену,delete_target,0.7340,{'target_name': 'отмену'},Я не нашёл отмену в списке известных целей.
2026-04-27T19:41:39,открой игру,open_target,0.8279,{'target_name': 'игру'},"Я пока не знаю игру. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:42:29,открой игру,open_target,0.8279,{'target_name': 'игру'},"Я пока не знаю игру. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:42:48,открой игру,open_target,0.8279,{'target_name': 'игру'},"Я пока не знаю игру. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:42:53,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:42:57,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:43:01,открой игру,open_target,0.8279,{'target_name': 'игру'},"Я пока не знаю игру. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:44:39,открой игру,open_target,0.8279,{'target_name': 'игру'},"Я пока не знаю игру. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:44:53,запомни,confirm,0.9999,{},Запомнил игру.
2026-04-27T19:44:58,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:45:05,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:46:58,запомни,confirm,0.9999,{},Мне пока нечего подтверждать.
2026-04-27T19:47:14,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:47:35,запомни,confirm,0.9999,{},Мне пока нечего подтверждать.
2026-04-27T19:48:00,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:51:33,по,open_target,0.9999,{'target_name': 'по'},"Я пока не знаю по. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:51:40,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:51:49,да,confirm,1.0000,{},Запомнил: вы означает открыть.
2026-04-27T19:51:58,да,confirm,1.0000,{},Запомнил: выпей означает открыть.
2026-04-27T19:52:02,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:52:07,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:52:22,отмена,reject,0.9999,{},"Хорошо, отменяю."
2026-04-27T19:52:29,отмена,reject,0.9999,{},"Хорошо, отменяю."
2026-04-27T19:52:36,отменена,open_target,0.9999,{'target_name': 'отменена'},"Я пока не знаю отменена. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:52:44,да,confirm,1.0000,{},Запомнил: японии означает открыть.
2026-04-27T19:52:49,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T19:52:59,открой амнезию,open_target,1.0000,{'target_name': 'амнезию'},"Я пока не знаю амнезию. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:53:18,запомни,confirm,0.9999,{},Запомнил амнезию.
2026-04-27T19:53:30,отмена,reject,0.9998,{},"Хорошо, отменяю."
2026-04-27T19:53:34,открой сью,open_target,0.9998,{'target_name': 'сью'},"Я пока не знаю сью. Открой нужную программу вручную, сделай её активным окном, а затем скажи: компьютер запомни."
2026-04-27T19:53:38,отмена,reject,0.9998,{},"Хорошо, отменяю."
2026-04-27T19:53:42,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:53:50,открой ко браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:59:35,откроем браузер,open_target,0.8657,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:59:43,открой браузер,open_target,1.0000,{'target_name': 'браузер'},Открываю браузер.
2026-04-27T19:59:47,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T20:00:41,отмена,reject,0.9995,{},"Хорошо, отменяю."
2026-04-27T20:03:54,звук,volume_mute,0.9992,{},Переключаю звук.
2026-04-27T20:04:00,прибавь звук,volume_mute,0.9993,{},Переключаю звук.
2026-04-27T20:04:46,научись действию,learn_macro,0.9997,{},"Начал запись действия альт. Выполни нужные клавиатурные действия вручную, затем скажи: компьютер готово."
2026-04-27T20:05:08,готово,finish_recording,0.9998,{},Запомнил действие альт.
2026-04-27T20:05:17,альт,open_target,0.9759,{'target_name': 'альт'},Открываю альт.
2026-04-27T20:05:25,альт,open_target,0.9759,{'target_name': 'альт'},Открываю альт.
2026-04-27T20:05:59,напиши привет,type_text,0.9968,{'typed_text': 'привет'},Готово.
2026-04-27T20:06:04,открой игру,open_target,1.0000,{'target_name': 'игру'},Открываю игру.
2026-04-27T20:07:44,открой ютуб,open_target,1.0000,{'target_name': 'ютуб'},Открываю ютуб.
2026-04-27T20:07:52,открой браузеры открой ютюб,volume_down,0.9862,{},Делаю тише.
2026-04-27T20:16:26,какой сегодня день,get_date,0.9999,{},Сегодня 27 апреля 2026 года.
